company_name,product_name,release_date,release_location,announced_by
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Apple,iPhone 11 pro,09/12/2020,Cupertino CA,Tim Cook
Samsung,Galazy S20,10/02/2020,Seoul South Korea,Lee Sung
Motorola,Moto Z4,05/20/2021,San Francisco CA,John Moto
Google,Pixel,06/19/2021,Mountain View CA,Sundar Pichai
Asus,Zen Fone,04/04/2020,New York City New York,Jon Chen